Vacancy;Company;Location
Python Software Engineer - Metrology Expose DUV;ASML;Veldhoven, North Brabant, Netherlands
Cloud Software Architect and Software Development Lead for a Cutting-Edge Business Innovation Team;Intel Corporation;Petaẖ Tiqwa, Central, Israel
Release Train Engineer Big Data and Analytics;ASML;Veldhoven, North Brabant, Netherlands
Product Definition Engineer - 109902;AMD;Austin, TX
Product Software Release Engineer;Qualcomm;Shanghai, Shanghai, China
Firmware Engineer 2- 113081;AMD;Markham, ON
Design Methodologies Manager;Mythic;Austin, TX
Windows Driver Development Engineer;Cirrus Logic;Austin, TX
Software Architect;Synopsys Inc;Mountain View, CA
Sr. PHP Developer Laravel/WordPress/Magento;Faststream Technologies;Bangalore Urban, Karnataka, India
Principal Design engineer PDK-CAD;Cadence Design Systems;Bengaluru, Karnataka, India
Lead Software Engineer - Virtuoso R&D;Cadence Design Systems;Hsinchu County, Taiwan, Taiwan
Lead Software Engineer, Synthesis;Cadence Design Systems;San Jose, CA
Senior Engineer - ReactNative/Flutter;Arrow Electronics;Ahmedabad, Gujarat, India
Release Train Engineer Digital Workplace;ASML;Veldhoven, North Brabant, Netherlands
SPE Verification Engineering;Rambus;San Jose, CA
Senior Java Developer - Diagnostic Software;ASML;Veldhoven, North Brabant, Netherlands
EDA Driver and API Developer;Synopsys Inc;Warsaw, Mazowieckie, Poland
EDA Software Developer;Synopsys Inc;Cracow, Małopolskie, Poland
EDA Software Developer;Synopsys Inc;Katowice, Śląskie, Poland
EDA Software Developer;Synopsys Inc;Warsaw, Mazowieckie, Poland
EDA Driver and API Developer;Synopsys Inc;Katowice, Śląskie, Poland
EDA Driver and API Developer;Synopsys Inc;Cracow, Małopolskie, Poland
Engineer/Senior Engineer - iOS;Arrow Electronics;Ahmedabad, Gujarat, India
Senior Java Developer/ Starszy programista Java;Vtool - Smart Verification;Gliwice, Śląskie, Poland
CAD Manager;Mythic;Austin, TX
Linux平台软件开发专家;Hisense Group;Qingdao, Shandong, China
Software Architect - Audio;GOODIX Technology INC.;Leuven, Flemish Region, Belgium
Software Architect;Cadence Design Systems;Hsinchu County, Taiwan, Taiwan
Principal Engineer-Firmware;Microchip Technology Inc.;San Jose, CA
Staff Engineer, Firmware Engineering;Western Digital;Shenzhen, Guangdong, China
Software Architect;Synopsys Inc;Westminster, CO
Software Architect;Synopsys Inc;Denver, CO
Software Architect;Synopsys Inc;Oviedo, FL
Software Architect;Synopsys Inc;Atlanta, GA
Software Architect;Synopsys Inc;Schaumburg, IL
Software Architect;Synopsys Inc;Chicago, IL
Software Architect;Synopsys Inc;Bloomington, IN
Software Architect;Synopsys Inc;Columbia, MD
Software Architect;Synopsys Inc;Indianapolis, IN
Software Architect;Synopsys Inc;Boston, MA
Software Architect;Synopsys Inc;Massachusetts, United States
Software Architect;Synopsys Inc;Boxborough, MA
Software Architect;Synopsys Inc;Marlboro, MA
Software Architect;Synopsys Inc;Detroit, MI
Software Architect;Synopsys Inc;Bloomington, MN
Software Architect;Synopsys Inc;New Jersey, United States
Software Architect;Synopsys Inc;New York, NY
Software Architect;Synopsys Inc;Austin, TX
Software Architect;Synopsys Inc;Plano, TX
Software Architect;Synopsys Inc;Dulles, VA
Software Architect;Synopsys Inc;San Francisco, CA
Lead Software Engineer, New College Graduate (PhD);Cadence Design Systems;San Jose, CA
Lead Software Engineer - Java/GUI Developer;Cadence Design Systems;Katowice, Śląskie, Poland
Software Engineer;u-blox;Malmö, Skane County, Sweden
LTE Algorithm Engineer;Sequans Communications;Biot, Provence-Alpes-Côte d'Azur, France
Lead Software Engineer;Cadence Design Systems;Beijing, Beijing, China
Software Architect;Cadence Design Systems;Bengaluru, Karnataka, India
Firmware Engineer;Cadence Design Systems;Shanghai, Shanghai, China
Product Development Engineer (99165);AMD;Austin, TX
Software Engineering Lead;Maxim Integrated;Istanbul, Istanbul, Turkey
Lead Software Engineer;上海矽睿科技有限公司;Shanghai, China
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Toronto, ON
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Software Architect (R34187/as);Cadence Design Systems;San Jose, CA
Lead Software Engineer (R34261/tmk);Cadence Design Systems;San Jose, CA
Software Architect;Synopsys Inc;Belfast, Northern Ireland, United Kingdom
MTS Product Development Eng. - 116321;AMD;Austin, TX
Business Process Analyst EAI (MuleSoft & Tibco);ASML;Veldhoven, North Brabant, Netherlands
Lead Software Engineer;Cadence Design Systems;Bengaluru, Karnataka, India
Lead Software Engineer;Cadence Design Systems;Belo Horizonte, Minas Gerais, Brazil
Product Development Engineer 1 - 103301;AMD;Austin, TX
Lead Software Engineer – Model and Virtual Platform Developer;Cadence Design Systems;Katowice, Śląskie, Poland
Lead Software Engineer;Cadence Design Systems;Hsinchu County, Taiwan, Taiwan
Product Applications Engineer;Analog Devices;Limerick, County Limerick, Ireland
MTS Software Development Engineer;AMD;Singapore, Singapore
Senior Java Software Engineer;proteanTecs;Tel Aviv, Israel
Software Architect - Industry Technical Specialist Exascale Enabling (f/m/d);Intel Corporation;Munich, Bavaria, Germany
Lead Software Engineer;Cadence Design Systems;Belo Horizonte, Minas Gerais, Brazil
Lead Software Engineer;Cadence Design Systems;Noida, Uttar Pradesh, India
(Senior) SW Methodology Engineer (Continuous Integration, CI) - Athens;Dialog Semiconductor;Athens, Attiki, Greece
Sr. Software System Designer;AMD;Shanghai, Shanghai, China
IOS Developer;PamTen Inc;Irving, TX
Lead Software Engineer - Linux Kernel;Texas Instruments;Bangalore Urban, Karnataka, India
Lead Software Engineer - AUTOSAR MCAL;Texas Instruments;Bangalore Urban, Karnataka, India
Lead Software Engineer - MCU;Texas Instruments;Bengaluru, Karnataka, India
Lead Software Engineer - Linux Driver -Upstreaming;Texas Instruments;Bangalore Urban, Karnataka, India
Enterprise SSD Firmware Engineer Intern;Samsung Electronics America;San Jose, CA
Enterprise SSD Test Engineer Intern;Samsung Electronics America;San Jose, CA
Enterprise SSD Firmware Engineer Intern;Samsung Electronics America;San Jose, CA
Lead Software Engineer;Cadence Design Systems;Shanghai, Shanghai, China
Lead Software Engineer;Cadence Design Systems;Noida, Uttar Pradesh, India
Release Train Engineer - Multi Domain Platforms & Data Center Services;NXP Semiconductors;Bucharest, Romania
Lead Software Engineer;Cadence Design Systems;Noida, Uttar Pradesh, India
Spring 2022 Product Development Engineer Co-Op/Intern - (115542);AMD;Austin, TX
Summer 2022 Product Development Engineer Co-Op/Intern - (115543);AMD;Austin, TX
Fall 2022 Product Development Engineer Co-Op/Intern - (115546);AMD;Austin, TX
Open Source Solutions Architect;Applied Materials;Toronto, ON
C++ \Java Senior SW Engineer;Applied Materials;Reẖovot, Central, Israel
Lead Software Engineer;Cadence Design Systems;Hsinchu County, Taiwan, Taiwan
Software Engineer;Applied Materials;Bangalore Urban, Karnataka, India
Lead Software Engineer - QA;Applied Materials;Bangalore Urban, Karnataka, India
Platform Development Software Engineer (C Programming);ASML;Veldhoven, North Brabant, Netherlands
Software Team Leader;Applied Materials;Reẖovot, Central, Israel
Lead software Engineer;Cadence Design Systems;Shanghai, Shanghai, China
Lead Software Engineer;Cadence Design Systems;Hsinchu County, Taiwan, Taiwan
Lead Software Engineer - Innovus;Cadence Design Systems;Austin, TX
Lead Software Enginner;Cadence Design Systems;Belo Horizonte, Minas Gerais, Brazil
Python Developer;NXP Semiconductors;Guadalajara, Mexico Metropolitan Area
Lead Software Engineer;Cadence Design Systems;Hsinchu County, Taiwan, Taiwan
Lead Software Engineer;Cadence Design Systems;Shanghai, Shanghai, China
System Design Engineer - Automation Infrastructure - 94689;AMD;Markham, ON
Sr. Software System Designer (82870);AMD;Bengaluru, Karnataka, India
Firmware QA Engineer, Junior;Marvell Technology;Cordoba, Cordoba, Argentina
Java Developer;Maxim Integrated;Gandhinagar, Gujarat, India
Lead Software Engineer;Cpl;Cork, County Cork, Ireland
Sr. Systems Design Engineer ( system integration, regression and release management) - 116242;AMD;Austin, TX
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;San Jose, CA
Senior Engineer, DevOps (Apps);Western Digital;Irvine, CA
Systems Design Engineer 2 - 116041;AMD;Markham, ON
Software Architect;VDL ETG Technology & Development B.V.;Eindhoven, North Brabant, Netherlands
IT DevOps Expert;NXP Semiconductors;Bucharest, Romania
Power Management Diagnostic Firmware Engineer - 82673;AMD;Markham, ON
Lead Software Engineer – SAP ABAP & UI5;Micron Technology;Hyderabad, Telangana, India
Lead Software Engineer;Cadence Design Systems;Bengaluru, Karnataka, India
System Integration and Validation Engineer;NXP Semiconductors;Bangalore Urban, Karnataka, India
MTS Product Development Eng.;AMD;Penang, Malaysia
Senior Verification Leader - Battery Management Systems (m/f/d);NXP Semiconductors;Gratkorn, Styria, Austria
Senior System SW Architect - UWB(m/f/d);NXP Semiconductors;Gratkorn, Styria, Austria
Senior/Principal Verification Engineer (m/f/d);NXP Semiconductors;Graz, Styria, Austria
D&E - Senior System Software Architect – Tainan/Hsinchu;ASML;Tainan City, Tainan City, Taiwan
Sr. Product Development Engineer- 99166;AMD;Austin, TX
Lead Software Developer;Technical-Link N. America;Lake Worth, FL
Programmer Analyst 2;Maxim India Integrated Circuit Design Pvt Ltd;Gandhinagar, Gujarat, India
Lead Software Development Engineer in Test (Irvine);Rockley Photonics Inc.;Irvine, CA
Senior Project Engineer - C#;Soliton Technologies;Bengaluru, Karnataka, India
Chief Software Architect (m/f/d);NXP Semiconductors;Eindhoven Area
Chief Software Architect (m/f/d);NXP Semiconductors;Bucharest, Romania
Chief Software Architect (m/f/d);NXP Semiconductors;Munich, Bavaria, Germany
Programmer Analyst 2;Maxim Integrated;Gandhinagar, Gujarat, India
Principal Software Engineer Factory Automation (To base in Hong Kong);Nexperia;Taiwan, Taiwan
Principal Software Engineer Factory Automation (To base in Hong Kong);Nexperia;Singapore, Singapore
Principal Software Engineer Factory Automation (To base in Hong Kong);Nexperia;Penang, Malaysia
Engineer II-Design;Microchip Technology Inc.;Burnaby, BC
C# Developer, Senior;The PEER Group Inc.;Kitchener, ON
Software Architect;Espressif Systems;Pune, Maharashtra, India
Digital Design Verification Engineer;NoBug Consulting;Braşov, Romania
Digital Design Verification Engineer;NoBug Consulting;Iaşi, Romania
Digital Design Verification Engineer;NoBug Consulting;Bucharest, Romania
Software and Product Release Engineer (GNSS Automotive);u-blox;Athens, Attiki, Greece
Principal Software Engineer Factory Automation;Nexperia;Hong Kong, Hong Kong SAR
Microservices Developer;PamTen Inc;Peapack - Gladstone, NJ
Manager, Information Technology;Western Digital;Bengaluru, Karnataka, India
Senior Manager, Data Center Management;Western Digital;Bengaluru, Karnataka, India
Professional 5, Information Technology;Western Digital;Bengaluru, Karnataka, India
System Lab Ops Manager;Intel Corporation;Santa Clara, CA
Senior Java Developer;NXP Semiconductors;Guadalajara, Mexico Metropolitan Area
Staff Digital Design Engineer;Skyworks Solutions, Inc.;Nashua, NH
SDET Lead (23845);DeWinter Group;San Francisco Bay Area
Sr. Staff Embedded Software Engineer;ams OSRAM;Hyderabad, Telangana, India
Principal Test Engineer;MKS Instruments;Irvine, CA
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;San Jose, CA
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Kitchener, ON
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;Toronto, ON
PES011 - Senior embedded linux tester;Mistral Solutions Pvt. Ltd;Bengaluru, Karnataka, India
EDA Engineer;Kandou S.A.;Lausanne, Vaud, Switzerland
Embedded Firmware Summer Intern;Skyworks Solutions, Inc.;Austin, TX
Design Methodology Engineer – Digital Design Flow;MediaTek;Austin, TX
Lead Software Engineer;Top Talent Search Experts, LLC;Hunterdon County, NJ
Principal Firmware Engineer;Skyworks Solutions, Inc.;Austin, TX
Embedded Wireless Engineers/Senior Engineer;IntSemi Technologies Private Limited;Bengaluru, Karnataka, India
Embedded Networked Audio Engineers/Senior Engineer;IntSemi Technologies Private Limited;Bengaluru, Karnataka, India
Embedded Software Engineers / System Engineers/Senior Engineers;IntSemi Technologies Private Limited;Bengaluru, Karnataka, India
Senior HPQC Administrator;Maxim India Integrated Circuit Design Pvt Ltd;Bengaluru, Karnataka, India
Embedded Software Engineer 嵌入式软件工程师;伟创力信息;Shanghai, Shanghai, China
SW - Linux Kernel Developer;NUVIA Inc;Austin, TX
SW - Linux Kernel Developer;NUVIA Inc;Santa Clara, CA
SW - Linux Developer;NUVIA Inc;Toronto, ON
SW - Linux Developer;NUVIA Inc;Santa Clara, CA
SW - Linux Kernel Developer;NUVIA Inc;Toronto, ON
